
  ==========================================
  Studio Pro version: 9.6.5
  Started at: 25/10/2023 11:06:57
  ==========================================
  

[2023-10-25T16:11:09.361Z] : [warn]: There is a small amount of free memory (RAM) left, 90.33% of RAM is being used (14501 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.
[2023-10-26T21:13:36.488Z] : [warn]: There is a small amount of free memory (RAM) left, 93.15% of RAM is being used (14953 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T21:16:36.503Z] : [warn]: There is a small amount of free memory (RAM) left, 93.6% of RAM is being used (15025 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T21:19:36.509Z] : [warn]: There is a small amount of free memory (RAM) left, 91.17% of RAM is being used (14636 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T21:23:06.492Z] : [warn]: There is a small amount of free memory (RAM) left, 90.39% of RAM is being used (14510 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T21:28:06.497Z] : [warn]: There is a small amount of free memory (RAM) left, 90.75% of RAM is being used (14568 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T21:31:06.513Z] : [warn]: There is a small amount of free memory (RAM) left, 93.52% of RAM is being used (15013 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T21:46:06.488Z] : [warn]: There is a small amount of free memory (RAM) left, 90.83% of RAM is being used (14581 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T21:56:06.499Z] : [warn]: There is a small amount of free memory (RAM) left, 91.05% of RAM is being used (14617 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T21:58:36.486Z] : [warn]: There is a small amount of free memory (RAM) left, 92.03% of RAM is being used (14773 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T22:01:36.494Z] : [warn]: There is a small amount of free memory (RAM) left, 92.09% of RAM is being used (14784 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T23:25:06.497Z] : [warn]: There is a small amount of free memory (RAM) left, 91.63% of RAM is being used (14710 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T23:27:36.497Z] : [warn]: There is a small amount of free memory (RAM) left, 93.54% of RAM is being used (15016 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T23:30:36.509Z] : [warn]: There is a small amount of free memory (RAM) left, 92.76% of RAM is being used (14891 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T23:33:36.520Z] : [warn]: There is a small amount of free memory (RAM) left, 91.9% of RAM is being used (14752 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T23:37:36.484Z] : [warn]: There is a small amount of free memory (RAM) left, 90.56% of RAM is being used (14537 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T23:40:36.489Z] : [warn]: There is a small amount of free memory (RAM) left, 90.32% of RAM is being used (14499 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T23:47:06.500Z] : [warn]: There is a small amount of free memory (RAM) left, 90.99% of RAM is being used (14606 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-26T23:50:06.506Z] : [warn]: There is a small amount of free memory (RAM) left, 91.7% of RAM is being used (14721 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T00:27:36.481Z] : [warn]: There is a small amount of free memory (RAM) left, 92.84% of RAM is being used (14904 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T01:02:36.497Z] : [warn]: There is a small amount of free memory (RAM) left, 90.48% of RAM is being used (14524 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T01:05:36.482Z] : [warn]: There is a small amount of free memory (RAM) left, 92.19% of RAM is being used (14800 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T01:08:36.497Z] : [warn]: There is a small amount of free memory (RAM) left, 90.38% of RAM is being used (14509 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T01:14:36.482Z] : [warn]: There is a small amount of free memory (RAM) left, 93.15% of RAM is being used (14954 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T01:17:36.495Z] : [warn]: There is a small amount of free memory (RAM) left, 91.12% of RAM is being used (14627 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T01:20:36.501Z] : [warn]: There is a small amount of free memory (RAM) left, 96.81% of RAM is being used (15541 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T01:23:36.519Z] : [warn]: There is a small amount of free memory (RAM) left, 92.98% of RAM is being used (14926 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T01:28:06.504Z] : [warn]: There is a small amount of free memory (RAM) left, 92.01% of RAM is being used (14770 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T01:31:06.516Z] : [warn]: There is a small amount of free memory (RAM) left, 92.56% of RAM is being used (14859 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T01:34:06.527Z] : [warn]: There is a small amount of free memory (RAM) left, 90.86% of RAM is being used (14586 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T01:52:06.498Z] : [warn]: There is a small amount of free memory (RAM) left, 91.38% of RAM is being used (14669 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T12:50:23.938Z] : [warn]: There is a small amount of free memory (RAM) left, 93.58% of RAM is being used (15023 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T12:59:03.512Z] : [warn]: There is a small amount of free memory (RAM) left, 90.46% of RAM is being used (14522 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T13:15:33.502Z] : [warn]: There is a small amount of free memory (RAM) left, 91.39% of RAM is being used (14671 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T13:23:33.500Z] : [warn]: There is a small amount of free memory (RAM) left, 91.36% of RAM is being used (14666 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T13:30:33.507Z] : [warn]: There is a small amount of free memory (RAM) left, 90.48% of RAM is being used (14524 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T13:43:03.510Z] : [warn]: There is a small amount of free memory (RAM) left, 90.46% of RAM is being used (14522 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T14:24:03.540Z] : [warn]: There is a small amount of free memory (RAM) left, 91.48% of RAM is being used (14686 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T14:55:03.515Z] : [warn]: There is a small amount of free memory (RAM) left, 91.07% of RAM is being used (14619 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T14:57:33.495Z] : [warn]: There is a small amount of free memory (RAM) left, 90.41% of RAM is being used (14514 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T14:58:33.504Z] : [warn]: There is a small amount of free memory (RAM) left, 92.29% of RAM is being used (14815 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:01:33.512Z] : [warn]: There is a small amount of free memory (RAM) left, 93.75% of RAM is being used (15050 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:04:33.520Z] : [warn]: There is a small amount of free memory (RAM) left, 91.9% of RAM is being used (14753 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:08:03.506Z] : [warn]: There is a small amount of free memory (RAM) left, 90.41% of RAM is being used (14514 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:14:03.507Z] : [warn]: There is a small amount of free memory (RAM) left, 91.52% of RAM is being used (14692 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:17:03.513Z] : [warn]: There is a small amount of free memory (RAM) left, 94.31% of RAM is being used (15140 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:20:03.520Z] : [warn]: There is a small amount of free memory (RAM) left, 95.93% of RAM is being used (15399 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:23:03.529Z] : [warn]: There is a small amount of free memory (RAM) left, 96.52% of RAM is being used (15495 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:26:03.537Z] : [warn]: There is a small amount of free memory (RAM) left, 93.1% of RAM is being used (14946 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:40:03.506Z] : [warn]: There is a small amount of free memory (RAM) left, 90.49% of RAM is being used (14526 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:44:03.588Z] : [warn]: There is a small amount of free memory (RAM) left, 97.4% of RAM is being used (15635 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:47:03.595Z] : [warn]: There is a small amount of free memory (RAM) left, 93.37% of RAM is being used (14989 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:50:03.603Z] : [warn]: There is a small amount of free memory (RAM) left, 96.22% of RAM is being used (15446 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T15:55:33.494Z] : [warn]: There is a small amount of free memory (RAM) left, 90.26% of RAM is being used (14489 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-10-27T16:15:38.562Z] : [success]: Robot saved successfully

